lat,long,max_temp,humidity,clouds,wind,country,date
-20.0064,57.6608,29.926,73,38,0.89,MU,1620448193
-33.0153,27.9116,28.915,88,0,3.6,ZA,1620448193
10.6333,-4.7667,29.673000000000002,68,64,1.38,BF,1620448194
29.5958,-90.7195,29.258999999999997,82,1,2.65,US,1620448190
41.2508,32.6942,28.906,61,57,1.11,TR,1620448194
3.2204,-76.3139,29.514999999999997,83,75,1.03,CO,1620448194
-3.8004,102.2655,30.311,62,54,1.99,ID,1620448194
64.8621,11.2373,27.806,65,92,6.88,NO,1620448195
-34.7,-71.05,28.814999999999998,72,100,1.03,CL,1620448195
52.6278,1.2983,27.926,81,100,3.09,GB,1620448158
45.7625,106.2708,28.407999999999998,30,100,4.29,MN,1620448053
46.8739,-96.7676,28.148000000000003,39,1,3.6,US,1620448196
7.4167,81.8167,30.201999999999998,74,100,2.12,LK,1620448196
7.9986,124.2928,29.881999999999998,79,54,2.14,PH,1620448196
-0.8917,119.8707,30.165,75,100,0.45,ID,1620448063
29.7633,-95.3633,29.593,68,1,3.6,US,1620448125
36.0696,49.6959,28.615,82,40,2.06,IR,1620448197
60.7161,-135.0538,28.214999999999996,57,75,7.2,CA,1620447904
60.3778,92.6267,27.591,100,100,1.28,RU,1620448197
69.3143,16.1194,27.514999999999997,87,75,2.57,NO,1620448197
-34.5833,150.8552,29.871,49,69,2.24,AU,1620448198
-2.6833,111.6167,30.433999999999997,64,80,1.49,ID,1620448198
14.4,46.4667,29.917,53,85,0.87,YE,1620448198
42.3414,78.0056,28.744,74,79,2.01,KG,1620448199
-19.0595,-169.9187,29.714999999999996,88,94,7.72,NU,1620448199
23.6,72.95,30.814999999999998,43,32,2.06,IN,1620448199
-38.2667,141.9667,29.031,61,61,5.57,AU,1620448200
69.3,139.9,27.062,95,100,1.62,RU,1620448200
50.5679,10.4152,27.482,81,14,1.63,DE,1620448200
36.4408,28.2225,29.415,78,20,6.17,GR,1620448201
35.55,133.2333,29.814999999999998,38,75,5.14,JP,1620448203
29.5833,-9.5,29.174,58,1,0.73,MA,1620448204
24.4667,54.3667,30.314999999999998,51,0,2.06,AE,1620448204
28.017,-97.5169,29.714999999999996,88,75,2.57,US,1620448204
-38.1,145.2833,29.258999999999997,58,38,4.31,AU,1620447962
65.85,74.4859,27.373,100,100,2.54,RU,1620448205
3.3803,-59.7968,29.814,83,96,1.85,GY,1620448205
-30.7414,30.455,29.105,73,25,3.07,ZA,1620448206
68.5333,146.4167,27.342000000000002,89,100,2.39,RU,1620448206
-28.7667,114.6,29.615,46,0,5.66,AU,1620448207
27.9167,96.1667,30.504,42,35,2.33,IN,1620448207
5.4112,100.3354,30.482,70,20,3.09,MY,1620447931
52.0568,-2.7148,27.982,95,100,1.34,GB,1620448207
47.6666,-52.7314,27.648000000000003,100,90,2.57,CA,1620448208
39.9523,-75.1638,28.426,87,75,3.6,US,1620447950
69.3833,178.4167,26.860000000000003,84,60,3.21,RU,1620448154
27.6883,111.6642,30.060000000000002,66,93,1.47,CN,1620448208
-17.8919,-39.3719,29.682,85,17,0.55,BR,1620448209
37.4636,-122.4286,28.714999999999996,81,1,3.09,US,1620448209
46.5333,-87.6335,27.615,70,90,2.21,US,1620448209
65.0083,53.9113,28.086000000000002,90,100,5.88,RU,1620448210
6.7085,121.9711,30.314999999999998,79,75,3.09,PH,1620448103
52.6333,29.7333,28.01,91,100,4.42,BY,1620448210
15.6578,101.106,30.704,63,67,1.08,TH,1620448210
32.7562,-91.8724,28.814999999999998,82,1,3.23,US,1620448211
1.1983,-70.1733,29.369,98,97,1.08,CO,1620448201
13.9835,10.2704,29.836000000000002,56,91,4.64,NE,1620448211
46.4333,26.4,28.258999999999997,67,97,2.06,RO,1620448211
36.0998,0.4206,29.183,46,18,2.42,DZ,1620448212
50.7214,136.6319,27.735000000000003,76,100,5.23,RU,1620448212
16.3244,-86.5366,30.014999999999997,89,20,6.17,HN,1620448212
6.1241,81.1185,30.214999999999996,84,75,2.57,LK,1620448213
-12.7406,-60.1458,28.736,93,56,1.57,BR,1620448213
62.5833,6.1333,27.714999999999996,81,75,2.06,NO,1620448213
49.1667,0.6667,28.371,77,100,2.68,FR,1620448214
46.7208,34.553,28.851999999999997,65,98,3.44,UA,1620448214
10.9995,122.6711,30.496,58,100,4.51,PH,1620448214
54.3161,-130.3201,28.014999999999997,93,90,5.14,CA,1620448215
55.1001,-105.2842,27.814999999999998,45,80,2.57,CA,1620448215
6.1164,125.2347,30.415,62,40,4.12,PH,1620448215
42.0304,-8.1588,28.037,93,78,1.79,PT,1620448216
59.2353,163.0719,27.366000000000003,94,30,0.03,RU,1620448216
34.0389,-6.8166,29.148000000000003,88,75,1.03,MA,1620448216
-20.5667,164.2833,30.01,70,100,1.25,NC,1620448217
22.4,-79.9667,29.514999999999997,88,1,1.54,CU,1620447704
46.6166,10.7002,27.648000000000003,55,0,2.06,IT,1620448217
23.8333,73.7167,31.028,18,3,1.77,IN,1620448217
11.9214,109.1591,30.514999999999997,62,20,3.09,VN,1620448218
63.4453,120.3167,28.035000000000004,55,94,1.79,RU,1620448218
13.2167,-59.5167,30.014999999999997,61,40,8.75,BB,1620448218
44.2236,12.0528,28.648000000000003,88,80,4.11,IT,1620448219
5.9485,80.5353,30.423000000000002,62,93,2.15,LK,1620448219
20.8947,-156.47,29.814999999999998,61,20,11.83,US,1620448124
14.8888,5.2692,29.976,37,6,4.36,NE,1620448219
0.15,29.2833,28.788999999999998,97,100,0.67,CD,1620448220
60.4667,166.1,27.285000000000004,90,100,2.56,RU,1620448220
40.5308,-112.2983,28.714999999999996,87,90,5.14,US,1620447924
-19.55,169.2667,30.115,74,75,4.12,VU,1620448220
-1.7,-77.9333,29.191000000000003,98,100,0.98,EC,1620448221
65.3667,64.6667,27.544999999999998,68,17,2.26,RU,1620448221
-8.145,159.5921,30.244999999999997,74,38,4.77,SB,1620448221
27.9769,-114.0611,28.837,83,2,6.87,MX,1620448222
-4.2714,-81.2147,29.372000000000003,75,77,6.79,PE,1620448222
37.1041,-113.5841,29.915,15,1,6.17,US,1620448222
55.4046,49.5504,28.314999999999998,71,0,4.0,RU,1620448223
-2.5364,-57.76,29.579,98,100,1.0,BR,1620448223
18.0384,-71.744,29.843,71,3,1.67,DO,1620448223
59.3833,143.3,27.73,60,58,3.05,RU,1620448224
44.8,27.3833,29.093,46,100,7.6,RO,1620448224
22.55,71.4667,30.847,30,9,3.64,IN,1620448224
40.1629,-8.3327,28.648000000000003,96,100,0.95,PT,1620448225
66.9395,-53.6735,27.427,75,12,2.7,GL,1620448225
40.4272,71.7189,29.615,53,28,2.06,UZ,1620448225
40.8106,111.6522,29.214999999999996,15,0,4.0,CN,1620448226
30.4833,-115.95,28.805,80,63,5.03,MX,1620448226
14.9215,-23.5087,29.415,78,20,5.66,CV,1620448227
64.3833,-173.3,27.7,60,4,1.36,RU,1620448227
-29.6643,17.8865,27.982999999999997,91,0,1.31,ZA,1620448227
51.226,-58.6502,27.689999999999998,91,100,6.51,CA,1620448070
68.75,161.3,27.151,87,100,0.6,RU,1620448228
-37.6167,-73.65,28.610000000000003,89,98,2.57,CL,1620448228
54.2222,83.381,28.912,37,1,5.67,RU,1620448228
51.0333,-4.2167,28.482,96,100,5.36,GB,1620448229
53.0675,76.1036,29.195999999999998,27,45,1.61,KZ,1620448229
7.9803,49.8164,30.262999999999998,64,100,1.71,SO,1620448230
-17.8333,-149.2667,30.115,69,40,2.57,PF,1620448230
-8.103,156.8419,30.308,71,37,4.52,SB,1620448230
-9.0122,-35.2225,29.758,82,80,1.18,BR,1620448231
64.2539,-15.2082,27.249000000000002,59,37,7.44,IS,1620448231
14.1333,-16.4667,29.567,52,77,4.41,SN,1620448231
21.3469,-158.0858,30.014999999999997,54,1,4.63,US,1620448232
5.3998,26.4869,29.320999999999998,98,100,0.49,CF,1620448232
-38.0651,174.8183,29.204,73,100,0.89,NZ,1620448232
46.4154,3.9054,27.814999999999998,93,0,1.03,FR,1620448233
-22.116,14.2845,28.648000000000003,94,0,1.79,NA,1620448233
63.7553,121.6247,27.949,56,93,2.82,RU,1620448233
13.25,-59.6167,30.014999999999997,61,40,8.75,BB,1620448234
33.7039,118.6792,30.219,31,0,7.04,CN,1620448234
57.0531,-135.33,28.415,62,40,0.58,US,1620448234
-10.0681,-78.1522,29.211000000000002,86,53,3.97,PE,1620448234
43.2686,-7.5406,28.037,100,81,2.24,ES,1620448235
69.4719,25.5112,27.415,93,90,6.69,NO,1620448235
-6.1349,12.3689,29.849,87,99,1.13,AO,1620448235
-34.6534,-58.6198,28.758999999999997,93,96,2.2,AR,1620448016
50.1001,-91.917,27.615,65,20,1.03,CA,1620448236
49.1667,-57.4316,27.714999999999996,93,90,4.12,CA,1620448236
63.0494,147.1858,27.433999999999997,69,87,0.56,RU,1620448236
19.9333,-105.25,29.536,87,46,1.31,MX,1620448237
31.4165,31.8133,29.415,83,0,2.57,EG,1620448237
-41.8697,-73.8203,28.314999999999998,87,90,1.07,CL,1620448238
41.734,45.3315,28.714999999999996,67,20,2.57,GE,1620448238
-32.035,-52.0986,27.982,96,13,2.23,BR,1620448238
